date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,depth,doc
2011-03-10,8.399798,132438602.270955,-12.874987,-1.10286,0.127517,8.08666662916667,83.3297625416667,970.502010833333,34.9166666666667,6.00469797083333,199.583333333333,7.40541661666667,6.7824999375,6.55541652916667,6.87,0.33125,0.34125,0.3175,0.292,0,2.3642681575,12.3038,2.51046,5,189.16
2011-04-06,15.920679,162606571.971298,-2.470141,-0.048512,0.400255,15.3033336041667,73.214607875,974.404144583333,24.0833333333333,5.01861875833333,268.625,13.6825001875,12.763749875,10.455416625,7.54291652916667,0.276708333333333,0.309791666666667,0.357666666666667,0.308,0,3.9320502563,17.8757,2.55568,5,293.148
2011-04-06,15.920679,162606571.971298,-2.470141,-0.048512,0.400255,15.3033336041667,73.214607875,974.404144583333,24.0833333333333,5.01861875833333,268.625,13.6825001875,12.763749875,10.455416625,7.54291652916667,0.276708333333333,0.309791666666667,0.357666666666667,0.308,0,3.9320502563,17.8757,2.55568,0,298.643
2011-05-04,16.560234,152787571.971298,-1.036879,-0.137406,0.145663,14.5200002708333,86.2041205833333,963.834438333333,52.0416666666667,5.33497935416667,236.458333333333,14.463750125,13.3658332291667,11.6429166666667,9.37416666666667,0.359875,0.3205,0.313,0.308,1.4,3.234466848,13.802,2.51105,0,240.113
2011-05-04,16.560234,152787571.971298,-1.036879,-0.137406,0.145663,14.5200002708333,86.2041205833333,963.834438333333,52.0416666666667,5.33497935416667,236.458333333333,14.463750125,13.3658332291667,11.6429166666667,9.37416666666667,0.359875,0.3205,0.313,0.308,1.4,3.234466848,13.802,2.51105,5,240.446
2011-06-01,21.07767,153821571.971297,-53.541614,-7.680245,0.133823,13.3283333125,87.0797115833333,967.755035416667,80.625,5.1505661,227.583333333333,15.2783334375,15.7533336458333,15.4345832291667,11.6095833333333,0.412541666666667,0.346958333333333,0.307,0.304,24.9,3.084100536,30.497,2.42395,5,256.848
2011-06-01,21.07767,153821571.971297,-53.541614,-7.680245,0.133823,13.3283333125,87.0797115833333,967.755035416667,80.625,5.1505661,227.583333333333,15.2783334375,15.7533336458333,15.4345832291667,11.6095833333333,0.412541666666667,0.346958333333333,0.307,0.304,24.9,3.084100536,30.497,2.42395,0,266.922
2011-07-06,24.852617,157160571.971298,-101.521258,-8.013938,0.133823,22.3054171666667,78.185561375,962.18164875,27.9166666666667,6.50412179583333,282.708333333333,22.2075007083333,21.0575004583333,18.5804175833333,14.3616666666667,0.21525,0.253916666666667,0.313541666666667,0.304,0,4.67804642,13.9328,2.48099,5,260.178
2011-07-06,24.852617,157160571.971298,-101.521258,-8.013938,0.133823,22.3054171666667,78.185561375,962.18164875,27.9166666666667,6.50412179583333,282.708333333333,22.2075007083333,21.0575004583333,18.5804175833333,14.3616666666667,0.21525,0.253916666666667,0.313541666666667,0.304,0,4.67804642,13.9328,2.48099,0,294.147
2011-07-27,24.135717,160759571.971298,-25.299557,-3.299236,0.133823,19.2595839166667,88.3131493333333,965.524227916667,80,3.60532766583333,181.541666666667,19.37208375,18.3262504583333,17.5033336666667,15.919999,0.410208333333333,0.399291666666667,0.3285,0.303,20.8,2.880233766,105.908,1.55049,0,197.902
2011-07-27,24.135717,160759571.971298,-25.299557,-3.299236,0.133823,19.2595839166667,88.3131493333333,965.524227916667,80,3.60532766583333,181.541666666667,19.37208375,18.3262504583333,17.5033336666667,15.919999,0.410208333333333,0.399291666666667,0.3285,0.303,20.8,2.880233766,105.908,1.55049,5,205.312
2011-09-06,24.598685,127528571.971297,-136.111712,-11.980612,0.155267,20.9345842083333,71.6069382916667,972.849962916667,34.4166666666667,6.69386541666667,232,20.467916875,19.7720840833333,19.9700005,18.238750625,0.2845,0.244541666666667,0.296041666666667,0.302,0,3.9948198342,7.32271,2.467,0,222.713
2011-09-06,24.598685,127528571.971297,-136.111712,-11.980612,0.155267,20.9345842083333,71.6069382916667,972.849962916667,34.4166666666667,6.69386541666667,232,20.467916875,19.7720840833333,19.9700005,18.238750625,0.2845,0.244541666666667,0.296041666666667,0.302,0,3.9948198342,7.32271,2.467,5,226.626
2012-01-12,9.779992,162548571.971292,-48.81911,-13.131767,0.278262,4.16374997604167,81.433193125,976.03039125,34.75,5.07850894166667,104.791666666667,3.042916654375,3.68874994166667,6.39291655416667,10.8658333333333,0.276041666666667,0.291,0.332,0.33,0,1.077620355,3.04022,2.57542,0,295.229
2012-01-12,9.779992,162548571.971292,-48.81911,-13.131767,0.278262,4.16374997604167,81.433193125,976.03039125,34.75,5.07850894166667,104.791666666667,3.042916654375,3.68874994166667,6.39291655416667,10.8658333333333,0.276041666666667,0.291,0.332,0.33,0,1.077620355,3.04022,2.57542,5,272.75
2012-02-15,7.774526,151293571.971292,-48.489715,-9.251794,0.258807,4.47624992520833,69.9460454583333,967.764873333333,13.375,5.796907125,154.583333333333,3.43874994416667,1.63041665,2.68458330833333,7.4325,0.304875,0.30375,0.312041666666667,0.328,0,1.7901477713,3.14097,2.62131,0,213.138
2012-02-15,7.774526,151293571.971292,-48.489715,-9.251794,0.258807,4.47624992520833,69.9460454583333,967.764873333333,13.375,5.796907125,154.583333333333,3.43874994416667,1.63041665,2.68458330833333,7.4325,0.304875,0.30375,0.312041666666667,0.328,0,1.7901477713,3.14097,2.62131,5,206.977
2012-03-14,10.108423,128845571.971293,-2.53365,0.25321,0.14981,11.9325000875,67.3048622916667,972.696542916667,0,4.86530870833333,224.291666666667,10.2866666125,9.32624992916667,7.14708320833333,6.59708319583333,0.197416666666667,0.235833333333333,0.276833333333333,0.324458333333333,0,3.086292065,2.26089,2.57231,0,213.055
2012-03-14,10.108423,128845571.971293,-2.53365,0.25321,0.14981,11.9325000875,67.3048622916667,972.696542916667,0,4.86530870833333,224.291666666667,10.2866666125,9.32624992916667,7.14708320833333,6.59708319583333,0.197416666666667,0.235833333333333,0.276833333333333,0.324458333333333,0,3.086292065,2.26089,2.57231,5,206.311
2012-04-11,11.607351,125929571.971293,-64.566107,-5.789337,0.21994,11.6033334458333,64.8529961666667,954.05054875,39.875,6.31147915833333,238.208333333333,10.6324999458333,10.0616664375,9.2304165625,7.63041666666667,0.306083333333333,0.276416666666667,0.2655,0.32,0,3.32921418934,2.47813,2.6367,5,272.25
2012-04-11,11.607351,125929571.971293,-64.566107,-5.789337,0.21994,11.6033334458333,64.8529961666667,954.05054875,39.875,6.31147915833333,238.208333333333,10.6324999458333,10.0616664375,9.2304165625,7.63041666666667,0.306083333333333,0.276416666666667,0.2655,0.32,0,3.32921418934,2.47813,2.6367,0,251.436
2012-05-09,14.983764,130682571.971293,-5.181083,0.949368,0.179673,16.401250125,82.312196625,967.364700416667,43.0833333333333,4.28990263666667,264.666666666667,15.6950003125,14.0908332916667,11.2345832916667,8.69291666666667,0.312708333333333,0.321958333333333,0.289291666666667,0.316,0,3.898519752,4.16096,2.70148,0,512.863
2012-05-09,14.983764,130682571.971293,-5.181083,0.949368,0.179673,16.401250125,82.312196625,967.364700416667,43.0833333333333,4.28990263666667,264.666666666667,15.6950003125,14.0908332916667,11.2345832916667,8.69291666666667,0.312708333333333,0.321958333333333,0.289291666666667,0.316,0,3.898519752,4.16096,2.70148,5,406.294
2012-06-07,22.079587,142117571.971293,-107.226334,-4.94182,0.159646,20.9908338541667,77.2215524166667,956.995857083333,60.9166666666667,7.48040295416667,323.375,20.3345838333333,18.8679172083333,15.95124975,11.3054164583333,0.2515,0.27475,0.292625,0.312,0,5.202228292,6.90504,2.67268,0,475.231
2012-06-07,22.079587,142117571.971293,-107.226334,-4.94182,0.159646,20.9908338541667,77.2215524166667,956.995857083333,60.9166666666667,7.48040295416667,323.375,20.3345838333333,18.8679172083333,15.95124975,11.3054164583333,0.2515,0.27475,0.292625,0.312,0,5.202228292,6.90504,2.67268,3,524.02
2012-06-07,22.079587,142117571.971293,-107.226334,-4.94182,0.159646,20.9908338541667,77.2215524166667,956.995857083333,60.9166666666667,7.48040295416667,323.375,20.3345838333333,18.8679172083333,15.95124975,11.3054164583333,0.2515,0.27475,0.292625,0.312,0,5.202228292,6.90504,2.67268,5,353.26
2012-07-03,25.629617,146492571.971293,-146.6971,-9.808766,0.168115,21.9033339791667,65.19398625,966.085883333333,51.4583333333333,7.04690906666667,331.375,21.2720841041667,20.2429172916667,19.2700007916667,14.1533333333333,0.169583333333333,0.216916666666667,0.279583333333333,0.306458333333333,0,5.737816047,4.87595,2.49925,0,275.248
2012-07-03,25.629617,146492571.971293,-146.6971,-9.808766,0.168115,21.9033339791667,65.19398625,966.085883333333,51.4583333333333,7.04690906666667,331.375,21.2720841041667,20.2429172916667,19.2700007916667,14.1533333333333,0.169583333333333,0.216916666666667,0.279583333333333,0.306458333333333,0,5.737816047,4.87595,2.49925,5,274.082
2012-07-31,25.918713,129432571.971292,-56.450736,-2.958736,0.162079,23.5470839583333,72.6118865416667,966.814394166667,1.70833333333333,6.5258842875,306.791666666667,23.4179169166667,22.1887506666667,20.20125025,16.7408339166667,0.160958333333333,0.192541666666667,0.251625,0.3,0,5.3834907953,3.64665,2.55687,5,166.431
2012-07-31,25.918713,129432571.971292,-56.450736,-2.958736,0.162079,23.5470839583333,72.6118865416667,966.814394166667,1.70833333333333,6.5258842875,306.791666666667,23.4179169166667,22.1887506666667,20.20125025,16.7408339166667,0.160958333333333,0.192541666666667,0.251625,0.3,0,5.3834907953,3.64665,2.55687,0,195.321
2012-09-05,24.628069,101469571.971292,-52.926296,-4.14969,0.159365,21.0345842083333,68.5012488333333,966.150791666667,39.9166666666667,4.91958740833333,171.583333333333,20.17625075,19.4970840833333,19.7866673333333,19.37,0.201625,0.186375,0.218833333333333,0.292,0,3.091367508,8.34622,4.69251,0,229.54
2012-09-05,24.628069,101469571.971292,-52.926296,-4.14969,0.159365,21.0345842083333,68.5012488333333,966.150791666667,39.9166666666667,4.91958740833333,171.583333333333,20.17625075,19.4970840833333,19.7866673333333,19.37,0.201625,0.186375,0.218833333333333,0.292,0,3.091367508,8.34622,4.69251,5,221.464
2012-10-17,17.937965,88785571.971291,-166.831389,-20.923759,0.146508,15.9783335416667,79.2445630833333,962.108956666667,64,9.2604882125,125.958333333333,14.7720833958333,14.4554165,16.7054170416667,18.751250375,0.369125,0.376791666666667,0.2995,0.288,0.2,1.92178326355,12.1139,3.17829,5,201.149
2012-10-17,17.937965,88785571.971291,-166.831389,-20.923759,0.146508,15.9783335416667,79.2445630833333,962.108956666667,64,9.2604882125,125.958333333333,14.7720833958333,14.4554165,16.7054170416667,18.751250375,0.369125,0.376791666666667,0.2995,0.288,0.2,1.92178326355,12.1139,3.17829,0,258.596
2012-11-28,11.08844,90849571.971292,-137.312296,-37.508163,0.197929,6.382499925,86.4175658333333,943.44752875,100,7.47699447916667,23,7.990833225,8.83666658333333,11.6908332083333,15.2991664583333,0.414125,0.404166666666667,0.369916666666667,0.31,5.9,0.4337050106,2.08036,2.55634,0,207.81
2012-11-28,11.08844,90849571.971292,-137.312296,-37.508163,0.197929,6.382499925,86.4175658333333,943.44752875,100,7.47699447916667,23,7.990833225,8.83666658333333,11.6908332083333,15.2991664583333,0.414125,0.404166666666667,0.369916666666667,0.31,5.9,0.4337050106,2.08036,2.55634,5,182.583
2013-01-15,7.139148,78730571.971291,-125.785248,-28.973079,0.253645,3.77208327916667,68.5654967916667,957.11453375,52.6666666666667,7.47570594583333,83.5,3.68458330833333,3.707499975,6.38458322083333,10.2262498541667,0.322791666666667,0.311541666666667,0.337625,0.32,0.9,1.095455048,1.59399,2.55975,0,178.087
2013-01-15,7.139148,78730571.971291,-125.785248,-28.973079,0.253645,3.77208327916667,68.5654967916667,957.11453375,52.6666666666667,7.47570594583333,83.5,3.68458330833333,3.707499975,6.38458322083333,10.2262498541667,0.322791666666667,0.311541666666667,0.337625,0.32,0.9,1.095455048,1.59399,2.55975,5,190.159
2013-02-19,6.451802,76009571.97129,-9.339895,-0.778391,0.262626,7.3720833125,85.7528490833333,962.617842916667,68.7916666666667,5.97324835416667,79.1666666666667,7.3783331875,6.9012499625,6.40333329583333,7.76791666666667,0.343625,0.326583333333333,0.316916666666667,0.32,0.7,1.023895889,1.3493,2.56234,0,172.925
2013-02-19,6.451802,76009571.97129,-9.339895,-0.778391,0.262626,7.3720833125,85.7528490833333,962.617842916667,68.7916666666667,5.97324835416667,79.1666666666667,7.3783331875,6.9012499625,6.40333329583333,7.76791666666667,0.343625,0.326583333333333,0.316916666666667,0.32,0.7,1.023895889,1.3493,2.56234,5,207.476
2013-03-19,9.762684,124676571.971289,-35.345855,-4.555908,0.22167,8.32833330833333,66.331926375,952.499349583333,60.75,6.12667982916667,198.458333333333,7.32416662916667,6.77833327083333,6.75125,7.0699997,0.36425,0.371291666666667,0.363,0.325,0,2.4949512206,11.9689,2.61414,0,276.663
2013-04-10,11.341304,145335571.971289,-70.750236,2.655678,0.151869,12.2616667583333,74.5246160833333,962.46571375,46.5,8.2172730375,207,11.1637498791667,9.71166654166667,8.45333327083333,7.54499985,0.359916666666667,0.379,0.387791666666667,0.332,0,2.886659758,18.243,2.45797,4,256.681
2013-04-10,11.341304,145335571.971289,-70.750236,2.655678,0.151869,12.2616667583333,74.5246160833333,962.46571375,46.5,8.2172730375,207,11.1637498791667,9.71166654166667,8.45333327083333,7.54499985,0.359916666666667,0.379,0.387791666666667,0.332,0,2.886659758,18.243,2.45797,0,301.89
