date,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev
2004-03-20,12.1762500208333,81.9903665,974.89044,83.125,5.49752198333333,5.49752198333333,193.291666666667,11.1470831625,9.96999995833333,8.41166658333333,7.42625,0.330125,0.34925,0.378708333333333,0,2.545053957
2004-03-21,11.3658334666667,86.8719664166667,969.70889,75.4583333333333,4.4354733,4.4354733,160.125,11.0137500125,9.95124991666667,8.6075,7.47,0.323791666666667,0.343291666666667,0.376333333333333,1.3,2.084544288
2004-03-22,7.317916525,96.0464881666667,965.672882916667,96.5416666666667,6.7032863875,6.7032863875,77.375,9.4262498625,9.63458327083333,8.78458310416667,7.48666666666667,0.399583333333333,0.365333333333333,0.376,21.2,0.8251294365
2004-03-23,6.38458325833333,72.2427697916667,960.155624583333,41.4166666666667,4.6290538875,4.6290538875,203.041666666667,7.41791661666667,7.63458325416667,8.65124989583333,7.52,0.386125,0.386625,0.376916666666667,0.3,2.362362497
2004-03-24,5.24708328770833,72.9528457916667,960.339635,41.9166666666667,4.89275904583333,4.89275904583333,215.291666666667,5.82208329166667,6.38041664166667,8.326249875,7.53666656666667,0.374666666666667,0.381375,0.375958333333333,0.9,2.374019444
2004-03-25,5.09708332083333,85.341896375,960.868937916667,48.9583333333333,4.94037129166667,4.94037129166667,184.208333333333,5.89083331666667,5.96791662916667,7.94083325416667,7.5699997,0.38425,0.378541666666667,0.374416666666667,8.9,1.972069874
2004-03-26,4.89499999166667,90.1421731666667,957.9794575,50.75,5.0854387125,5.0854387125,181.5,6.0824999125,5.9887499625,7.61791660416667,7.5699997,0.414166666666667,0.39975,0.375583333333333,9.3,1.870779153
2004-03-27,3.00749997083333,94.891706875,958.530575,87.0416666666667,5.7209828125,5.7209828125,46.3333333333333,4.60124994583333,5.432499925,7.34083329583333,7.5699997,0.416333333333333,0.410291666666667,0.379291666666667,11.5,0.508781633
2004-03-28,6.50124995833333,76.253455,960.543955833333,88.1666666666667,13.4403000833333,13.4403000833333,167.041666666667,6.15958329166667,5.45958332083333,7.0199999625,7.56583305833333,0.401958333333333,0.411125,0.385291666666667,0,1.955516360458
2004-03-29,9.00333321666667,83.304072,957.665895416667,88.1666666666667,19.4452562291667,19.4452562291667,68.25,8.26166659583333,7.13041662916667,6.94708333333333,7.52,0.398958333333333,0.403541666666667,0.387333333333333,17.6,1.197339575
2004-03-30,10.4491666041667,95.44963975,955.706487916667,98.9583333333333,8.33841960416667,8.33841960416667,102.916666666667,9.81791654166667,8.23458319583333,7.11166656666667,7.52,0.430458333333333,0.431375,0.404375,31.8,1.226028103
2004-03-31,11.0741666458333,89.1649882916667,958.865627083333,64.5416666666667,9.50318615416667,9.50318615416667,198.166666666667,10.7366665416667,9.1679165625,7.37833325833333,7.52,0.418708333333333,0.427125,0.417291666666667,4.5,2.275129086
