date,swt,v,lh,sh,strat,t,rh,sp,cc,ws,sr,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,pev,q_gwlf,doc_gwlf,q_inca,doc_inca
2022-05-15,17.32462,106788572,-198.45,2.514303,0.159777,18.44917,60.06815,965.3032,55.5,9.373514,323.4583,17.1575,16.31375,13.30958,9.717917,0.2657917,0.3062917,0.3444583,0.3446667,0,5.28312,17.8181,2.0112,9.207,1.849
2022-05-16,18.04387,106877572,-36.5458,1.403288,0.160682,18.90125,64.21099,967.3068,48.75,5.793436,315.375,17.92,16.8325,13.62208,9.805416,0.2560833,0.3004583,0.34225,0.344,0,5.081824,17.5804,2.00228,8.264,1.786
2022-05-17,18.73632,106877572,-14.8289,0.362872,0.16217,19.17,74.8377,967.1778,3.708333,5.65479,320.9167,18.0825,17.25333,13.94708,9.903333,0.2489583,0.295375,0.3405833,0.344,0,4.955803,17.3772,1.99262,7.477,1.732
2022-05-18,19.70529,106833572,-0.779994,0.042883,0.164857,21.20542,73.97433,967.9437,38.04167,4.536574,295.5833,19.54708,18.11792,14.30333,10.00125,0.2399583,0.2897917,0.3385,0.344,0,4.93223,17.1978,1.9828,6.843,1.69
2022-05-19,20.49328,106833572,-8.960453,0.083977,0.166544,20.69708,75.41385,971.4849,59.45833,4.985364,311.0833,19.6825,18.38667,14.69708,10.11167,0.23125,0.2837083,0.3360417,0.344,0,5.001365,17.0203,1.97488,6.298,1.657
2022-05-20,19.28748,106864509,-188.8439,4.724727,0.169603,20.82833,64.40863,972.7056,68.04167,8.095441,318.2083,19.37,18.26583,15.00958,10.22417,0.22225,0.278,0.3335,0.343625,0,5.448307,16.8446,1.9685,5.83,1.625
2022-05-21,19.54824,104385572,-181.711,11.83629,0.17615,21.6075,57.00168,968.5606,78.33333,8.495667,325.25,19.7325,18.59708,15.27,10.34292,0.2147083,0.27325,0.3318333,0.343,0,5.994758,16.6708,1.96336,5.427,1.595
2022-05-22,19.66411,103415572,-265.5022,13.6088,0.180855,22.4825,48.00448,960.9534,65.16667,10.18423,332.4167,20.20958,19.19708,15.56583,10.46375,0.2069167,0.2691667,0.3306667,0.343,0,6.622924,16.4987,1.95923,5.077,1.569
2022-05-23,20.44547,103062572,-7.262997,-0.129032,0.183363,20.06583,65.82281,957.2884,51.41667,6.217183,292.7917,19.62417,19.13042,15.87,10.58667,0.2032917,0.266,0.3295833,0.343,0.1,4.753822,16.3284,1.9559,4.899,1.56
2022-05-24,20.08435,102843572,-52.19993,-10.14328,0.137726,14.095,95.41919,959.3656,95.54167,7.853353,54.45833,15.73875,17.19917,15.98875,10.71583,0.33825,0.3044167,0.3287083,0.343,52.5,0.8078634,39.6001,4.34699,6.322,1.893
2022-05-25,19.74289,102799572,-56.54869,-7.805356,0.132205,14.77417,82.53409,964.0088,76.91667,5.622569,126.7917,14.82417,15.17833,15.67417,10.83458,0.4050417,0.3990417,0.3315833,0.3426667,3.8,1.947658,34.6159,4.13268,7.673,2.305
2022-05-26,20.18296,102799572,-9.446043,-0.42105,0.126516,18.40542,60.94779,968.7753,38.20833,6.250147,329.125,17.05542,15.70542,15.32833,10.94917,0.370625,0.3856667,0.3330417,0.342,0,5.260601,30.6075,3.91578,8.273,2.412
2022-05-27,20.51243,102448572,-35.81117,-0.781917,0.192713,20.23042,63.59148,966.8715,13.125,5.451334,271.4583,18.16167,16.87833,15.25333,11.04917,0.351375,0.369875,0.3307917,0.342,0.7,4.615389,27.3818,3.70055,8.334,2.374
2022-05-28,21.0718,102711572,-18.54401,-0.331977,0.186895,20.67833,74.09635,961.5443,24.83333,5.390559,302.9583,19.295,17.88667,15.35958,11.15333,0.3335,0.357125,0.327125,0.342,0.2,4.972609,24.7819,3.49156,8.115,2.3
2022-05-29,21.27016,102492572,-48.94754,-4.278864,0.185831,18.84083,70.36032,956.8149,29.66667,6.809882,308.5833,18.42208,18.03667,15.55958,11.25333,0.3189583,0.3470417,0.3264583,0.342,0.1,4.821886,22.6883,3.29206,8,2.222
2022-05-30,21.18704,101967572,-121.4944,-11.85383,0.182087,18.17625,66.24996,957.4014,64.91667,7.459398,313.0417,17.47,17.27417,15.645,11.3575,0.3045417,0.3364583,0.3250417,0.3419167,0,4.936845,20.9923,3.10657,8.744,2.181
2022-05-31,21.70215,101967572,-2.636339,-0.197961,0.175455,18.84292,69.24421,962.3009,21.04167,5.95509,329.9167,18.10958,17.58042,15.67833,11.45958,0.2910417,0.3269583,0.3235833,0.341125,0,5.16215,19.6086,2.93822,9.219,2.189
2022-06-01,21.52791,101836572,-158.62,-6.037134,0.170868,20.14917,72.03288,963.3186,6.958333,7.631434,339.6667,19.13458,18.22,15.78875,11.56167,0.2787917,0.3185417,0.3229167,0.341,0,5.490632,18.4732,2.78832,9.153,2.159
2022-06-02,22.19407,101356572,-20.74332,-0.984197,0.166097,20.45125,70.15447,962.9058,54.5,5.331673,328.4167,19.60125,18.62417,15.96583,11.66583,0.2696667,0.3110417,0.3225833,0.341,0,5.307927,17.5385,2.65669,8.722,2.103
2022-06-03,22.78035,101208572,-27.78517,-0.93578,0.160802,21.86375,74.15854,963.2328,56.25,6.117803,328.2083,20.9075,19.3575,16.20958,11.77,0.2605,0.303375,0.321125,0.341,0.1,5.472587,16.7619,2.54307,8.202,2.044
2022-06-04,23.10891,100443572,-46.91961,-2.376138,0.157467,21.47208,73.08287,963.3654,39.375,5.768003,325.625,20.75125,19.7825,16.49917,11.87833,0.249125,0.2958333,0.3195833,0.3405833,0,5.371644,16.1165,2.44555,7.603,1.99
2022-06-05,23.42769,100227572,-32.82678,-2.172217,0.188379,20.91583,78.71943,966.4258,41.75,5.820373,290.125,20.42208,19.6325,16.75542,11.99083,0.2439583,0.289625,0.3184167,0.34,1.2,4.626901,15.5747,2.36292,7.098,1.948
2022-06-06,23.06838,99423572,-178.9711,-10.77393,0.17885,21.06792,75.04377,967.424,53.79167,8.920809,305.7917,20.51167,19.76792,16.95542,12.10958,0.2415417,0.2854583,0.3165,0.34,0,4.985054,15.1148,2.2937,6.598,1.918
2022-06-07,23.47103,98760572,-22.14526,-1.68515,0.165928,20.71375,73.27579,966.4081,47.83333,7.464347,273.4583,19.96167,19.53458,17.10125,12.22417,0.2320833,0.28025,0.3151667,0.34,0,4.454636,14.7212,2.23604,6.242,1.878
2022-06-08,23.8074,98417572,-8.828472,-1.054074,0.154134,19.59917,83.42916,963.1851,95.41667,5.542442,217.375,19.65542,19.2075,17.19083,12.33875,0.2616667,0.2786667,0.3155417,0.34,11.6,3.505405,14.4444,2.18893,6.776,1.905
2022-06-09,23.94918,97988572,-31.75816,-3.058082,0.143786,19.91792,78.68056,966.0855,60.875,5.818105,233.6667,19.78042,19.04917,17.22833,12.46167,0.296875,0.28,0.3131667,0.3395833,1,3.738486,14.1368,2.14924,7.437,2.077
2022-06-10,24.40495,97347572,-7.82844,-0.55953,0.181864,21.195,78.22813,968.3749,21.70833,4.864233,305.75,20.19083,19.25125,17.24917,12.57208,0.274875,0.27775,0.3109583,0.339,0,5.016423,13.8569,2.11798,7.555,2.204
2022-06-11,24.78657,96622572,-39.24158,-1.94977,0.168728,22.25542,69.00916,969.5097,31.33333,4.948875,334.4583,21.40125,20.25542,17.37208,12.6825,0.2534583,0.273625,0.3095833,0.339,0,5.695132,13.6035,2.09312,7.488,2.195
2022-06-12,24.76233,96367572,-128.5789,-4.882441,0.154539,23.58667,61.72332,969.4104,68.41667,7.336957,324.7083,22.45958,21.30125,17.65333,12.80125,0.2374583,0.2702917,0.3092083,0.339,0,5.976072,13.373,2.07332,7.307,2.148
2022-06-13,24.84079,95435572,-124.4723,-4.263531,0.145522,23.18667,60.23003,967.1703,76.66667,7.050094,297.5,22.02625,21.395,17.97833,12.92,0.2214167,0.26525,0.3075417,0.3384583,0,5.491622,13.1621,2.05753,7.059,2.104
2022-06-14,25.17352,94736572,-82.54383,-3.041956,0.133844,23.35333,57.63049,965.6767,93.79167,5.377033,302,22.31792,21.50542,18.22625,13.03875,0.2069167,0.2595,0.3050417,0.338,0,5.459129,12.9961,2.04046,6.723,2.061
2022-06-15,26.00273,94593572,-15.23319,-0.226385,0.171883,24.9325,61.78862,966.6933,85.25,5.65933,306.4583,23.895,22.37208,18.52208,13.16792,0.1945,0.2537083,0.3024583,0.338,0,5.675879,12.862,2.02306,6.515,2.03
