date,q,swt,v,lh,sh,light,strat,t,rh,sp,cc,pev,ws,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp
1998-10-08,12.7894,17.525882,79337973.604709,-33.327021,-6.826155,383.355499,0.173017,10.9220832041667,90.1635894166667,965.186480833333,68.0416666666667,0.0675189121666667,4.73953050833333,12.4574998125,13.0283332291667,15.5804165625,18.03875075,0.410708333333333,0.407,0.32125,0.309,9.7
1998-10-09,10.1968,17.379438,78683658.546567,-19.375112,-4.17376,283.634162,0.169273,11.1845832791667,95.2293021666667,968.240554166667,76.2083333333333,0.0540308354166667,4.2184575625,12.2658332708333,12.7345832083333,15.29083325,17.9783340833333,0.414083333333333,0.406458333333333,0.329625,0.309,4.8
1998-10-10,9.0625,17.033738,77960555.403292,-65.745444,-12.349315,362.274523,0.166759,11.5304168625,83.2422892916667,968.364839583333,43.625,0.081180224125,5.1281515125,11.6699999375,12.3054165416667,14.9991666041667,17.9033333333333,0.3905,0.395416666666667,0.334916666666667,0.309,0
1998-10-11,10.4514,16.898197,77636499.530434,-49.563495,-7.40903,387.128783,0.164522,13.692916625,82.4197295833333,967.962529166667,62.5833333333333,0.0825870962916667,6.5431232,13.0033333958333,12.7470832291667,14.7699999166667,17.83875125,0.374458333333333,0.383833333333333,0.337166666666667,0.309,0
1998-10-12,9.9884,17.046359,77528665.526569,-3.571307,-0.306987,395.184468,0.162435,15.4929167916667,80.097773625,964.537687916667,71.2916666666667,0.0965502462041667,4.66859914166667,14.31375025,13.5554165208333,14.6908333333333,17.7595836666667,0.362916666666667,0.375833333333333,0.337416666666667,0.309,0
1998-10-13,6.5972,17.0002,76847856.077164,-30.065594,-3.817757,458.134613,0.160784,14.8825000625,81.370526875,969.6844825,36.0416666666667,0.0984657287916667,5.2449515625,14.2429168958333,13.82833325,14.717916625,17.692917125,0.354166666666667,0.368125,0.33725,0.309875,0
1998-10-14,7.2569,16.997263,76562303.188055,-24.143107,-2.837399,464.884163,0.162552,14.680416875,79.3632911666667,972.259839583333,12.0416666666667,0.104017371208333,4.39923900833333,13.6387501041667,13.7429165625,14.740833125,17.6241668333333,0.345375,0.360416666666667,0.336541666666667,0.31,0
1998-10-15,7.6852,16.953809,76170733.588546,-47.548582,-5.317028,437.551941,0.163486,14.6325004583333,81.294295875,971.29479375,52.5416666666667,0.101320159958333,4.62055911583333,13.5429166666667,13.8929165625,14.749166375,17.55125125,0.337208333333333,0.353625,0.336,0.31,0
1998-10-16,7.2917,16.671859,75780395.789802,-128.527185,-15.768034,390.598248,0.164978,14.3700003333333,82.8549949166667,968.246229166667,84.7083333333333,0.0875617904583333,7.4147228875,13.7054168541667,13.9449998958333,14.7908330416667,17.4866673333333,0.331041666666667,0.347916666666667,0.335666666666667,0.31,0
1998-10-17,5.2431,16.573228,75532639.282554,-91.117751,-7.900646,432.949785,0.166545,15.9658335833333,83.511990875,964.81600625,63.8333333333333,0.0991011815833333,7.37234466666667,14.9991666041667,14.4491665416667,14.83875,17.4283335,0.325458333333333,0.34325,0.335625,0.31,0
1998-10-18,6.5162,16.650109,75038617.449611,-3.948606,-0.616332,201.389446,0.167818,15.5137501666667,90.1180685,965.45979125,76.7083333333333,0.0576614960416667,4.1680478,15.1762502708333,14.6449998958333,14.95958325,17.36375025,0.330708333333333,0.340291666666667,0.335583333333333,0.31,8
1998-10-19,7.4884,16.444774,75250097.858518,-38.341691,-7.096775,223.776865,0.168817,11.8991665625,92.8183566666667,962.135314583333,70.375,0.0390007098333333,5.82132349875,13.3574999375,13.9970832708333,15.0179161875,17.3095849166667,0.399708333333333,0.355666666666667,0.336,0.31,9.5
1998-10-20,7.6505,16.246984,75144312.082589,-59.612315,-9.310527,438.984409,0.184151,11.459583625,76.4858624583333,968.88603,41.9583333333333,0.0918161930416667,4.61346454166667,11.1387498625,12.051249875,14.8012499375,17.251250375,0.37225,0.364625,0.336166666666667,0.31,0
1998-10-21,8.7963,16.010559,74862662.221104,-97.413203,-16.214374,417.601322,0.183235,11.9075003,75.9790989166667,972.77633375,26.125,0.091255848725,5.7821771625,10.8262499125,11.6074999166667,14.4595832708333,17.192917125,0.355291666666667,0.360666666666667,0.336,0.31,0
1998-10-22,6.1227,15.597547,74616749.635696,-169.441282,-30.479422,385.811498,0.14802,12.626250275,83.5575047916667,974.981025,21.375,0.08289991239,8.9298231625,11.7304165375,12.0533332291667,14.1929165833333,17.1241668333333,0.345041666666667,0.355625,0.336,0.31,0
1998-10-23,5.6713,15.542502,74441400.865823,-66.008507,-9.884991,388.416915,0.146759,13.3366668541667,85.071259,973.147194166667,51.9166666666667,0.0864455161666667,6.50732194166667,12.5033333125,12.5637499166667,14.0658331666667,17.0491678333333,0.338041666666667,0.350875,0.335541666666667,0.31,0
1998-10-24,6.2847,15.555346,73951766.016692,-67.159076,-5.676736,344.814807,0.144237,15.1137503333333,82.5919206666667,967.964670416667,95.7083333333333,0.0861208808458333,6.6018162875,13.7366667708333,13.1991665625,14.0429163958333,16.9845840416667,0.33125,0.345833333333333,0.334583333333333,0.31,0
1998-10-25,5.8796,15.68927,73951766.016692,-11.726596,-0.539344,274.592649,0.143223,16.3408333333333,83.8491110416667,959.62851875,90.125,0.0764416687583333,7.73654379583333,15.5450002916667,14.3991665416667,14.17833325,16.9054166666667,0.33125,0.341041666666667,0.333916666666667,0.31,3.2
1998-10-26,5.3009,15.622911,73498872.062921,-14.981487,-2.290849,306.466234,0.140232,13.974166875,88.6598850416667,966.530612083333,60.7083333333333,0.059080488875,6.06635829041667,14.8449999375,14.5262499166667,14.4158333333333,16.84708425,0.385875,0.35075,0.333041666666667,0.310958333333333,8.3
1998-10-27,5.544,15.187263,73082322.797536,-184.700307,-29.290533,380.274999,0.157404,12.42625005,78.2589225833333,974.165329166667,52.375,0.0882551128041667,9.10134322916667,12.4429166875,12.801249875,14.4116666666667,16.7908341666667,0.362125,0.35575,0.333125,0.311,0
1998-10-28,4.6991,15.081709,72632689.586639,-70.655868,-9.421173,378.860643,0.317755,12.3283333791667,75.1556694166667,972.802317083333,2.75,0.0875021642129167,5.98059816666667,11.4075001666667,12.21583325,14.2304166041667,16.7366673333333,0.347083333333333,0.3525,0.333583333333333,0.311,0
1998-10-29,4.8958,15.13588,72563665.29575,-8.582137,-1.15263,359.2765,0.320718,12.8970835583333,79.290051375,970.056316666667,23.1666666666667,0.0847246580416667,5.943406375,11.8741666125,12.1533332708333,14.0324999166667,16.6720834583333,0.33725,0.34775,0.333583333333333,0.311,0
1998-10-30,4.3634,15.186072,71978571.566552,-0.571541,-0.109523,228.86521,0.31665,12.6179166041667,88.0950735,972.913667916667,93.7916666666667,0.0465821595833333,5.56365185,12.5679165416667,12.5366665833333,13.9408333333333,16.60541725,0.350333333333333,0.345541666666667,0.333333333333333,0.311,3.2
1998-10-31,4.0162,14.951549,71567298.288256,-89.774537,-17.582934,269.858839,0.453513,11.05125,80.5208827083333,967.0062825,92.625,0.0611558725666667,5.02079516541667,10.894999975,11.8970832291667,13.8199997708333,16.545001,0.347416666666667,0.345583333333333,0.333375,0.311,0
1998-11-01,4.6528,14.889259,71464703.767359,-24.61834,-3.448969,269.694794,0.441129,12.3825000458333,74.4957255833333,960.530352083333,39.125,0.0684446855,4.726703925,10.9199999375,11.3074999166667,13.5949998125,16.478334,0.337666666666667,0.34325,0.333125,0.311,0
1998-11-02,4.5486,14.693735,70953071.228027,-93.025418,-14.291808,276.729134,0.331981,13.0116666416667,77.4738072083333,958.949505,31.4166666666667,0.0668847821666667,5.61764344166667,11.3304165458333,11.3929165416667,13.41583325,16.40125,0.331458333333333,0.339916666666667,0.3325,0.311,0
1998-11-03,5.0694,14.569773,70308202.32889,-101.101199,-5.841597,241.06184,0.146044,15.7575000833333,78.9780145,954.90694,87,0.0740925059529167,9.7022776875,13.9616668125,12.5637498958333,13.3470833333333,16.33458475,0.326041666666667,0.336541666666667,0.331541666666667,0.311,0.2
1998-11-04,4.5718,14.468468,69163110.899537,-30.064458,-6.649085,62.619146,0.139358,12.27208325,92.6657325833333,955.13655125,78.2083333333333,0.0224671005833333,5.04589220416667,12.7574999791667,12.9220832916667,13.4658332916667,16.2616669583333,0.33775,0.334291666666667,0.331583333333333,0.311,4.8
